id,age,education,employment,income,marital_status,violence
228,27,2,0,0,1,False
229,20,2,0,0,1,False
230,24,2,0,0,0,False
231,33,1,0,0,1,False
232,22,2,0,0,1,False
233,24,2,0,0,1,False
234,42,1,0,0,1,True
235,38,1,0,0,1,False
236,28,2,0,0,1,True
237,22,2,0,0,0,False
238,21,1,0,0,0,False
239,23,2,0,0,1,False
240,34,2,0,0,1,False
241,36,1,0,0,1,False
242,25,2,0,0,1,False
243,45,1,0,0,1,False
244,31,2,0,0,1,True
245,22,2,0,0,0,False
246,28,2,0,0,1,True
247,36,1,0,0,1,False
248,41,1,0,0,1,False
249,20,2,0,0,1,False
250,31,2,0,0,1,True
251,36,1,0,0,1,False
252,31,2,0,0,1,False
253,47,1,0,0,1,False
254,23,2,0,0,0,True
255,36,1,0,0,1,False
256,38,1,0,0,1,False
257,28,2,0,0,1,False
258,29,2,0,0,1,False
259,31,1,0,0,1,False
260,43,1,0,0,1,True
261,44,1,0,0,1,False
262,21,2,0,0,0,False
263,20,2,0,0,1,False
264,23,2,0,0,1,True
265,36,1,0,0,1,False
266,42,1,0,0,1,False
267,33,1,0,0,1,False
268,23,2,0,0,0,False
269,32,1,0,0,1,True
270,50,1,0,8,1,False
271,19,2,1,1000,0,False
272,45,0,0,1000,1,False
273,22,2,1,1200,1,True
274,33,1,1,1500,1,False
275,30,1,1,2000,1,False
276,18,2,1,2000,0,False
277,25,1,1,2000,1,False
278,22,1,1,2000,1,False
279,24,2,2,2000,0,False
280,29,1,1,2200,1,False
281,23,0,1,2500,1,False
282,27,2,1,2500,1,True
283,26,1,1,2500,1,False
284,46,1,2,2500,1,True
285,20,3,1,3000,0,False
286,27,1,1,3000,1,False
287,21,2,1,3000,0,False
288,25,2,1,3000,0,False
289,27,1,1,3000,1,False
290,19,2,1,3000,1,False
291,50,3,2,3500,1,True
292,26,2,1,3500,1,False
293,25,1,1,3500,1,False
294,30,2,1,4000,1,False
295,48,2,1,4000,1,False
296,21,2,1,4000,0,False
297,43,1,1,4000,1,False
298,50,1,2,5000,1,False
299,45,0,1,5000,1,True
300,20,2,1,5000,0,False
301,27,0,1,5000,1,False
302,29,2,1,5000,0,False
303,23,3,1,5000,0,False
304,22,2,1,5000,1,True
